game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900591,1/13/20,7:00 PM,NOP,DET,New Orleans Pelicans,Detroit Pistons,1,1,no,det
game_0021900592,1/13/20,7:00 PM,PHI,IND,Philadelphia 76ers,Indiana Pacers,2,2,phi,ind
game_0021900593,1/13/20,7:30 PM,CHI,BOS,Chicago Bulls,Boston Celtics,3,1,chi,bos
game_0021900594,1/13/20,8:00 PM,OKC,MIN,Oklahoma City Thunder,Minnesota Timberwolves,4,1,okc,min
game_0021900595,1/13/20,10:00 PM,CHA,POR,Charlotte Hornets,Portland Trail Blazers,5,1,cha,por
game_0021900596,1/13/20,10:00 PM,ORL,SAC,Orlando Magic,Sacramento Kings,6,2,orl,sac
game_0021900597,1/13/20,10:30 PM,CLE,LAL,Cleveland Cavaliers,Los Angeles Lakers,7,1,cle,lal
game_0021900598,1/14/20,7:30 PM,PHX,ATL,Phoenix Suns,Atlanta Hawks,1,1,phx,atl
game_0021900599,1/14/20,7:30 PM,UTA,BKN,Utah Jazz,Brooklyn Nets,2,2,uth,bkn
game_0021900600,1/14/20,8:00 PM,HOU,MEM,Houston Rockets,Memphis Grizzlies,3,1,hou,mem
game_0021900601,1/14/20,8:00 PM,NYK,MIL,New York Knicks,Milwaukee Bucks,4,2,nyk,mil
game_0021900603,1/14/20,10:30 PM,CLE,LAC,Cleveland Cavaliers,LA Clippers,5,1,cle,lac
game_0021900602,1/14/20,10:30 PM,DAL,GSW,Dallas Mavericks,Golden State Warriors,6,2,dal,gsw
game_0021900605,1/15/20,7:00 PM,BKN,PHI,Brooklyn Nets,Philadelphia 76ers,1,1,bkn,phi
game_0021900604,1/15/20,7:00 PM,DET,BOS,Detroit Pistons,Boston Celtics,2,2,det,bos
game_0021900606,1/15/20,7:30 PM,SAS,MIA,San Antonio Spurs,Miami Heat,3,1,sas,mia
game_0021900608,1/15/20,8:00 PM,IND,MIN,Indiana Pacers,Minnesota Timberwolves,4,1,ind,min
game_0021900609,1/15/20,8:00 PM,TOR,OKC,Toronto Raptors,Oklahoma City Thunder,5,2,tor,okc
game_0021900607,1/15/20,8:00 PM,WAS,CHI,Washington Wizards,Chicago Bulls,6,3,was,chi
game_0021900610,1/15/20,9:00 PM,CHA,DEN,Charlotte Hornets,Denver Nuggets,7,1,cha,den
game_0021900611,1/15/20,9:30 PM,POR,HOU,Portland Trail Blazers,Houston Rockets,8,1,por,hou
game_0021900612,1/15/20,10:00 PM,DAL,SAC,Dallas Mavericks,Sacramento Kings,9,1,dal,sac
game_0021900613,1/15/20,10:30 PM,ORL,LAL,Orlando Magic,Los Angeles Lakers,10,1,orl,lal
game_0021900614,1/16/20,7:30 PM,PHX,NYK,Phoenix Suns,New York Knicks,1,1,phx,nyk
game_0021900615,1/16/20,8:00 PM,BOS,MIL,Boston Celtics,Milwaukee Bucks,2,1,bos,mil
game_0021900616,1/16/20,8:00 PM,UTA,NOP,Utah Jazz,New Orleans Pelicans,3,2,uth,no
game_0021900617,1/16/20,10:30 PM,DEN,GSW,Denver Nuggets,Golden State Warriors,4,1,den,gsw
game_0021900618,1/16/20,10:30 PM,ORL,LAC,Orlando Magic,LA Clippers,5,2,orl,lac
game_0021900620,1/17/20,7:00 PM,CHI,PHI,Chicago Bulls,Philadelphia 76ers,1,1,chi,phi
game_0021900619,1/17/20,7:00 PM,MIN,IND,Minnesota Timberwolves,Indiana Pacers,2,2,min,ind
game_0021900621,1/17/20,7:00 PM,WAS,TOR,Washington Wizards,Toronto Raptors,3,3,was,tor
game_0021900622,1/17/20,8:00 PM,CLE,MEM,Cleveland Cavaliers,Memphis Grizzlies,4,1,cle,mem
game_0021900623,1/17/20,8:00 PM,MIA,OKC,Miami Heat,Oklahoma City Thunder,5,2,mia,okc
game_0021900624,1/17/20,8:30 PM,ATL,SAS,Atlanta Hawks,San Antonio Spurs,6,1,atl,sas
game_0021900625,1/17/20,9:30 PM,POR,DAL,Portland Trail Blazers,Dallas Mavericks,7,1,por,dal
game_0021900626,1/18/20,3:30 PM,LAC,NOP,LA Clippers,New Orleans Pelicans,1,1,lac,no
game_0021900627,1/18/20,6:00 PM,MIL,BKN,Milwaukee Bucks,Brooklyn Nets,2,1,mil,bkn
game_0021900628,1/18/20,7:00 PM,PHX,BOS,Phoenix Suns,Boston Celtics,3,1,phx,bos
game_0021900629,1/18/20,7:30 PM,DET,ATL,Detroit Pistons,Atlanta Hawks,4,1,det,atl
game_0021900630,1/18/20,7:30 PM,PHI,NYK,Philadelphia 76ers,New York Knicks,5,2,phi,nyk
game_0021900631,1/18/20,8:00 PM,CLE,CHI,Cleveland Cavaliers,Chicago Bulls,6,1,cle,chi
game_0021900632,1/18/20,8:00 PM,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,7,2,tor,min
game_0021900633,1/18/20,8:30 PM,LAL,HOU,Los Angeles Lakers,Houston Rockets,8,1,lal,hou
game_0021900634,1/18/20,8:30 PM,ORL,GSW,Orlando Magic,Golden State Warriors,9,2,orl,gsw
game_0021900635,1/18/20,9:00 PM,POR,OKC,Portland Trail Blazers,Oklahoma City Thunder,10,1,por,okc
game_0021900636,1/18/20,9:00 PM,SAC,UTA,Sacramento Kings,Utah Jazz,11,2,sac,uth
game_0021900637,1/19/20,3:00 PM,MIA,SAS,Miami Heat,San Antonio Spurs,1,1,mia,sas
game_0021900638,1/19/20,8:00 PM,IND,DEN,Indiana Pacers,Denver Nuggets,2,1,ind,den
game_0021900639,1/20/20,2:00 PM,DET,WAS,Detroit Pistons,Washington Wizards,1,1,det,was
game_0021900640,1/20/20,2:30 PM,TOR,ATL,Toronto Raptors,Atlanta Hawks,2,1,tor,atl
